Instrument,Aperture,V2_Ref,V3_Ref,V3_IdlYAngle,V2_1,V2_2,V2_3,V2_4,V3_1,V3_2,V3_3,V3_4
NIRCam,NRCALL_FULL*,-0.32,-492.59,-0.03,153.16,-153.74,-152.07,151.38,-559.27,-557.14,-426.00,-427.95
NIRCam,NRCAS_FULL*,81.35,-498.23,-0.10,153.16,19.49,20.80,151.38,-559.27,-560.22,-428.00,-427.95
NIRCam,NRCA1_FULL,120.67,-527.39,-0.57,153.16,88.90,88.69,152.08,-559.27,-559.88,-495.59,-495.15
NIRCam,NRCA2_FULL,120.11,-459.68,-0.21,151.95,88.56,88.68,151.38,-491.11,-491.49,-428.17,-427.95
NIRCam,NRCA3_FULL,51.93,-527.80,0.19,84.05,19.49,20.15,83.83,-560.03,-560.22,-495.59,-495.73
NIRCam,NRCA4_FULL,52.28,-459.81,0.06,84.00,20.39,20.80,83.71,-491.46,-491.59,-428.00,-428.20
NIRCam,NRCA5_FULL,86.10,-493.23,-0.09,151.45,20.88,22.23,149.72,-557.79,-558.60,-428.46,-428.63
NIRCam,NRCBS_FULL*,-82.29,-496.21,-0.06,-20.32,-153.74,-152.07,-21.93,-558.08,-557.14,-426.00,-425.81
NIRCam,NRCB1_FULL,-120.97,-457.75,0.38,-89.59,-152.82,-152.07,-89.52,-489.58,-489.07,-426.00,-426.35
NIRCam,NRCB2_FULL,-121.14,-525.46,0.83,-89.55,-153.74,-152.37,-89.05,-558.09,-557.14,-493.08,-493.86
NIRCam,NRCB3_FULL,-53.12,-457.78,-0.49,-21.05,-84.57,-84.75,-21.93,-489.32,-489.59,-426.40,-425.81
NIRCam,NRCB4_FULL,-52.82,-525.73,-0.34,-20.32,-84.82,-84.77,-21.16,-558.08,-557.99,-493.71,-493.47
NIRCam,NRCB5_FULL,-89.39,-491.44,-0.01,-23.98,-154.75,-153.25,-25.54,-556.87,-556.16,-426.75,-426.52
NIRCam,NRCA2_MASK210R,127.23,-405.24,-0.24,137.11,117.44,117.39,137.00,-415.05,-415.17,-395.46,-395.36
NIRCam,NRCA5_MASK335R,107.51,-405.52,-0.19,117.56,97.59,97.55,117.47,-415.45,-415.55,-395.51,-395.43
NIRCam,NRCA5_MASK430R,87.25,-405.19,-0.01,97.27,77.29,77.32,97.24,-415.17,-415.19,-395.13,-395.13
NIRCam,NRCA4_MASKSWB,67.61,-404.67,-0.08,77.46,57.75,57.76,77.40,-414.53,-414.57,-394.82,-394.81
NIRCam,NRCA5_MASKLWB,47.20,-405.44,0.35,57.20,37.13,37.29,57.30,-415.52,-415.40,-395.28,-395.43
NIRISS,NIS_CEN,-290.10,-697.50,-0.57,-222.43,-356.38,-357.71,-223.78,-764.48,-765.25,-630.26,-629.60
NIRISS,NIS_AMI1,-293.74,-762.31,-0.57,-290.73,-295.96,-296.02,-290.79,-764.96,-764.99,-759.72,-759.69
NIRSpec,NRS_FULL_IFU_IFU,300.15,-498.12,138.89,295.63,300.55,304.96,300.05,-497.56,-493.15,-498.24,-502.65
NIRSpec,NRS_S200A1_SLIT,332.14,-479.22,138.76,329.66,329.82,331.90,331.75,-478.13,-477.99,-480.38,-480.51
NIRSpec,NRS_S400A1_SLIT,321.87,-477.94,138.78,319.10,319.48,321.91,321.52,-476.84,-476.49,-479.27,-479.61
NIRSpec,NRS_S200A2_SLIT,314.98,-489.45,138.83,312.42,312.65,314.73,314.50,-488.46,-488.26,-490.64,-490.85
NIRSpec,NRS_S1600A1_SLIT,321.53,-473.68,138.77,319.11,320.26,321.30,320.15,-473.72,-472.69,-473.88,-474.91
NIRSpec,NRS_S200B1_SLIT,440.48,-364.52,138.16,437.76,437.92,440.10,439.95,-363.55,-363.41,-365.83,-365.97
NIRSpec,NRS_FULL_MSA*,378.77,-428.16,138.49,223.34,385.55,534.72,368.50,-418.79,-275.00,-439.02,-586.32
NIRSpec,NRS_FULL_MSA1,466.48,-436.16,138.24,398.68,472.27,535.09,460.68,-434.47,-369.74,-438.70,-504.11
NIRSpec,NRS_FULL_MSA2,381.89,-340.89,138.30,313.41,385.93,446.75,373.49,-338.63,-274.66,-341.68,-406.16
NIRSpec,NRS_FULL_MSA3,375.82,-516.37,138.74,307.26,380.36,442.15,368.26,-515.99,-450.72,-520.54,-586.53
NIRSpec,NRS_FULL_MSA4,291.77,-420.64,138.69,223.11,295.32,355.24,282.44,-418.99,-354.67,-422.35,-487.32
MIRI,MIRIM_FULL*,-453.36,-374.07,4.83,-381.41,-494.97,-486.22,-372.61,-436.72,-427.34,-315.00,-323.34
MIRI,MIRIM_ILLUM,-453.36,-374.07,0.08,-420.52,-494.42,-485.67,-411.71,-433.61,-427.39,-315.04,-320.33
MIRI,MIRIM_MASK1065,-393.11,-421.18,0.08,-381.24,-412.55,-410.66,-379.20,-434.74,-432.26,-407.47,-409.96
MIRI,MIRIM_MASK1140,-391.12,-396.53,0.08,-379.18,-410.64,-408.74,-377.22,-409.73,-407.25,-382.44,-384.91
MIRI,MIRIM_MASK1550,-389.22,-372.03,0.08,-377.24,-408.75,-406.82,-375.33,-385.13,-382.66,-357.86,-360.30
MIRI,MIRIM_MASKLYOT,-389.09,-337.61,0.08,-375.11,-410.13,-407.44,-372.64,-357.42,-354.72,-321.09,-323.79
MIRI,MIRIM_SLIT,-414.33,-400.69,4.36,-411.99,-416.72,-416.68,-411.95,-401.14,-400.76,-400.24,-400.62
MIRI,MIRIFU_FULL_SHCH1CNTR_CH4,-504.48,-321.06,17.00,-502.41,-508.81,-506.55,-500.15,-325.74,-323.78,-316.38,-318.34
FGS,FGS1_FULL,207.19,-697.50,-0.02,280.66,138.36,136.62,275.96,-771.81,-769.86,-626.68,-627.03
FGS,FGS2_FULL,24.43,-697.50,0.00,94.31,-46.78,-44.86,93.43,-769.39,-771.74,-627.78,-626.34
